filename,0lig,1cla,2uph,4sad,6qui
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_6,20.0,36.0,4.0,13.0,35.0
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_7,18.0,13.0,3.0,12.0,18.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_0,11.0,38.0,6.0,21.0,53.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_1,19.0,39.0,6.0,18.0,44.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_2,26.0,29.0,6.0,26.0,42.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_3,12.0,31.0,4.0,19.0,42.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_4,24.0,29.0,4.0,14.0,30.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_5,38.0,21.0,5.0,14.0,22.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_6,42.0,26.0,7.0,20.0,27.0
Camila_Cabello_-_Havana_ft._Young_Thug_[BQ0mxQXmLsk]_7,61.0,24.0,8.0,22.0,26.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_0",11.0,48.0,6.0,26.0,65.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_1",31.0,22.0,8.0,8.0,16.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_2",39.0,21.0,10.0,9.0,13.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_3",30.0,24.0,7.0,8.0,17.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_4",42.0,26.0,11.0,11.0,18.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_5",25.0,39.0,8.0,12.0,36.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_6",37.0,25.0,9.0,9.0,17.0
"Mao_Abe／阿部真央_-どうしますか、あなたなら[Doushimasuka,_Anatanara](Official_Music_Video)_[BG1S-FKDA7k]_7",33.0,26.0,6.0,23.0,32.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_0,49.0,30.0,7.0,31.0,42.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_1,28.0,25.0,6.0,18.0,27.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_2,34.0,28.0,8.0,12.0,19.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_3,35.0,27.0,6.0,18.0,24.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_4,32.0,28.0,6.0,27.0,38.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_5,25.0,38.0,8.0,13.0,36.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_6,21.0,27.0,6.0,12.0,27.0
ベントレーとタクシーが交差点で正面衝突…ドライブレコーダーが捉えた事故の瞬間_[dEspwrffGgA]_7,20.0,33.0,7.0,13.0,34.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_0,54.0,59.0,16.0,24.0,42.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_1,27.0,34.0,6.0,35.0,53.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_2,24.0,25.0,6.0,18.0,23.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_3,31.0,31.0,6.0,29.0,44.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_4,32.0,30.0,10.0,16.0,23.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_5,24.0,35.0,6.0,20.0,37.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_6,23.0,42.0,5.0,26.0,50.0
優里『レオ』Official_Music_Video_[uxYLXaXtH9I]_7,21.0,27.0,5.0,20.0,34.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_0,16.0,36.0,5.0,34.0,61.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_1,20.0,31.0,5.0,32.0,53.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_2,23.0,27.0,5.0,28.0,43.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_3,22.0,31.0,6.0,32.0,51.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_4,19.0,29.0,5.0,29.0,48.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_5,18.0,30.0,5.0,30.0,50.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_6,13.0,35.0,5.0,33.0,60.0
【楽譜あり】千本桜⧸初音ミク（ソロ上級）【ピアノソロ】【ピアノ楽譜】_[7BJB468P4HA]_7,19.0,30.0,5.0,30.0,49.0
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_0,29.0,15.0,6.0,6.0,7.0
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_1,37.0,21.0,10.0,9.0,10.0
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_2,40.0,29.0,11.0,10.0,17.0
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_3,33.0,19.0,9.0,8.0,9.0
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_4,30.0,26.0,7.0,8.0,16.0
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_5,32.0,18.0,8.0,8.0,6.0
